RowId,Result
1,None
2,None
3,None
4,None
5,None
6,None
7,None
8,None
9,None
10,None
11,None
12,None
13,None
14,None
15,None
16,None
17,None
18,None
19,None
20,None
21,None
22,None
23,None
24,None
25,None
26,None
27,None
28,None
29,None
30,None
31,None
32,None
33,None
34,None
35,Low
36,Medium
37,High
38,None
39,Low
40,Low
41,None
42,None
43,None
44,None
45,None
46,None
47,None
48,None
49,None
50,None
51,None
52,None
53,None
54,None
55,None
56,None
57,None
58,Low
59,Medium
60,High
61,Medium
62,Medium
63,High
64,Low
65,None
66,None
67,None
68,None
69,None
70,None
71,None
72,None
73,None
74,None
75,None
76,None
77,None
78,None
79,None
80,None
81,Low
82,Medium
83,High
84,High
85,High
86,High
87,High
88,Low
89,None
90,None
91,None
92,None
93,None
94,None
95,None
96,None
97,None
98,None
99,None
100,None
101,None
102,None
103,None
104,None
105,Low
106,Medium
107,Medium
108,High
109,Medium
110,High
111,High
112,Medium
113,None
114,None
115,None
116,None
117,None
118,None
119,None
120,None
121,None
122,None
123,None
124,None
125,None
126,None
127,None
128,None
129,None
130,Low
131,Low
132,Low
133,Low
134,Medium
135,Medium
136,Low
137,None
138,None
139,None
140,None
141,None
142,None
143,None
144,None
145,None
146,None
147,None
148,None
149,None
150,None
151,None
152,None
153,None
154,None
155,None
156,None
157,None
158,None
159,None
160,None
161,None
162,None
163,None
164,None
165,None
166,None
167,None
168,None
169,None
170,None
171,None
172,None
173,None
174,None
175,None
176,None
177,None
178,None
179,None
180,None
181,None
182,None
183,None
184,None
185,None
186,None
187,None
188,None
189,None
190,None
191,None
192,None
193,None
194,None
195,None
196,None
197,None
198,None
199,None
200,None
201,None
202,Low
203,Medium
204,Low
205,High
206,Medium
207,Medium
208,Low
209,None
210,None
211,None
212,None
213,None
214,None
215,None
216,None
217,None
218,None
219,None
220,None
221,None
222,None
223,None
224,None
225,None
226,None
227,Low
228,Medium
229,Low
230,Low
231,None
232,None
233,None
234,None
235,None
236,None
237,None
238,None
239,None
240,None
241,None
242,None
243,None
244,None
245,None
246,None
247,None
248,None
249,None
250,Low
251,Low
252,High
253,Medium
254,High
255,High
256,Medium
257,None
258,None
259,None
260,None
261,None
262,None
263,None
264,None
265,None
266,None
267,None
268,None
269,None
270,None
271,None
272,None
273,None
274,Low
275,Low
276,Low
277,Low
278,Low
279,None
280,None
281,None
282,None
283,None
284,None
285,None
286,None
287,None
288,None
289,None
290,None
291,None
292,None
293,None
294,None
295,None
296,None
297,None
298,None
299,None
300,Low
301,Low
302,Medium
303,Low
304,Low
305,None
306,None
307,None
308,None
309,None
310,None
311,None
312,None
313,None
314,None
315,None
316,None
317,None
318,None
319,None
320,None
321,None
322,None
323,None
324,None
325,None
326,None
327,None
328,None
329,None
330,None
331,None
332,None
333,None
334,None
335,None
336,None
337,None
338,None
339,None
340,None
341,None
342,None
343,None
344,None
345,Low
346,Medium
347,Low
348,Low
349,None
350,Low
351,Low
352,Low
353,None
354,None
355,None
356,None
357,None
358,None
359,None
360,None
361,None
362,None
363,None
364,None
365,None
366,None
367,None
368,None
369,None
370,None
371,None
372,None
373,None
374,None
375,None
376,None
377,None
378,None
379,None
380,None
381,None
382,None
383,None
384,None
385,None
386,None
387,None
388,None
389,None
390,None
391,None
392,None
393,None
394,None
395,None
396,None
397,Low
398,Low
399,None
400,None
401,None
402,None
403,None
404,None
405,None
406,None
407,None
408,None
409,None
410,None
411,None
412,None
413,None
414,None
415,None
416,None
417,Low
418,None
419,Low
420,Low
421,Low
422,None
423,None
424,Low
425,None
426,None
427,None
428,None
429,None
430,None
431,None
432,None
433,None
434,None
435,None
436,None
437,None
438,None
439,None
440,None
441,None
442,Low
443,Low
444,Low
445,Low
446,None
447,None
448,None
449,None
450,None
451,None
452,None
453,None
454,None
455,None
456,None
457,None
458,None
459,None
460,None
461,None
462,None
463,None
464,None
465,None
466,None
467,None
468,None
469,Medium
470,Medium
471,None
472,None
473,None
474,None
475,None
476,None
477,None
478,None
479,None
480,None
481,None
482,None
483,None
484,None
485,None
486,None
487,None
488,None
489,None
490,Low
491,Medium
492,Medium
493,Low
494,Low
495,Low
496,Low
497,None
498,None
499,None
500,None
501,None
502,None
503,None
504,None
505,None
506,None
507,None
508,None
509,None
510,None
511,None
512,None
513,Low
514,Medium
515,High
516,Medium
517,Low
518,Low
519,Medium
520,Medium
521,None
522,None
523,None
524,None
525,None
526,None
527,None
528,None
529,None
530,None
531,None
532,None
533,None
534,None
535,None
536,None
537,Low
538,Medium
539,High
540,High
541,High
542,High
543,High
544,Medium
545,None
546,None
547,None
548,None
549,None
550,None
551,None
552,None
553,None
554,None
555,None
556,None
557,None
558,None
559,None
560,None
561,Low
562,Medium
563,High
564,High
565,High
566,High
567,High
568,Medium
569,None
570,None
571,None
572,None
573,None
574,None
575,None
576,None
577,None
578,None
579,None
580,None
581,None
582,None
583,None
584,None
585,Low
586,Medium
587,High
588,Medium
589,Medium
590,High
591,Medium
592,Low
593,None
594,None
595,None
596,None
597,None
598,None
599,None
600,None
601,None
602,None
603,None
604,None
605,None
606,None
607,None
608,None
609,None
610,Medium
611,Medium
612,High
613,Low
614,Low
615,Low
616,Low
617,None
618,None
619,None
620,None
621,None
622,None
623,None
624,None
625,None
626,None
627,None
628,None
629,None
630,None
631,None
632,None
633,Low
634,Medium
635,High
636,High
637,Medium
638,Medium
639,Low
640,Low
641,Low
642,None
643,None
644,None
645,None
646,None
647,None
648,None
649,None
650,None
651,None
652,None
653,None
654,None
655,None
656,None
657,Low
658,Medium
659,Medium
660,Medium
661,High
662,High
663,Low
664,None
665,Low
666,None
667,None
668,None
669,None
670,None
671,None
672,None
673,None
674,None
675,None
676,None
677,None
678,None
679,None
680,None
681,Low
682,Medium
683,Low
684,Medium
685,Low
686,High
687,Medium
688,Low
689,None
690,None
691,None
692,None
693,None
694,None
695,None
696,None
697,None
698,None
699,None
700,None
701,None
702,None
703,None
704,None
705,Low
706,Medium
707,Medium
708,Low
709,Medium
710,High
711,Medium
712,Medium
713,Low
714,None
715,None
716,None
717,None
718,None
719,None
720,None
721,None
722,None
723,None
724,None
725,None
726,None
727,None
728,None
729,Low
730,Medium
731,High
732,Medium
733,High
734,High
735,Medium
736,Low
737,Low
738,None
739,None
740,None
741,None
742,None
743,None
744,None
745,None
746,None
747,None
748,None
749,None
750,None
751,None
752,None
753,Low
754,Medium
755,High
756,High
757,Medium
758,High
759,Medium
760,High
761,Low
762,None
763,None
764,None
765,None
766,None
767,None
768,None
769,None
770,None
771,None
772,None
773,None
774,None
775,None
776,None
777,Low
778,Medium
779,Medium
780,High
781,Medium
782,High
783,Medium
784,High
785,Low
786,None
787,None
788,None
789,None
790,None
791,None
792,None
793,None
794,None
795,None
796,None
797,None
798,None
799,None
800,None
801,Low
802,Medium
803,High
804,Medium
805,High
806,High
807,High
808,High
809,None
810,None
811,None
812,None
813,None
814,None
815,None
816,None
817,None
818,None
819,None
820,None
821,None
822,None
823,None
824,None
825,Low
826,Low
827,High
828,Medium
829,Medium
830,Medium
831,Low
832,High
833,Low
834,None
835,None
836,None
837,None
838,None
839,None
840,None
841,None
842,None
843,None
844,None
845,None
846,None
847,None
848,None
849,Low
850,High
851,High
852,None
853,Low
854,High
855,Low
856,Low
857,Low
858,None
859,None
860,None
861,None
862,None
863,None
864,None
865,None
866,None
867,None
868,None
869,None
870,None
871,None
872,None
873,Low
874,High
875,High
876,Very High
877,High
878,High
879,Medium
880,Medium
881,Low
882,None
883,None
884,None
885,None
886,None
887,None
888,None
889,None
890,None
891,None
892,None
893,None
894,None
895,None
896,None
897,Low
898,High
899,High
900,High
901,Medium
902,High
903,Medium
904,Medium
905,Low
906,None
907,None
908,None
909,None
910,None
911,None
912,None
913,None
914,None
915,None
916,None
917,None
918,None
919,None
920,None
921,None
922,Low
923,Low
924,Medium
925,Low
926,High
927,Medium
928,Low
929,None
930,None
931,None
932,None
933,None
934,None
935,None
936,None
937,None
938,None
939,None
940,None
941,None
942,None
943,None
944,None
945,Low
946,High
947,Medium
948,Medium
949,High
950,High
951,High
952,Medium
953,Low
954,None
955,None
956,None
957,None
958,None
959,None
960,None
961,None
962,None
963,None
964,None
965,None
966,None
967,None
968,None
969,Low
970,High
